SOC%,n_scans,t_first_min,t_last_min,sigma_T_mC,thermal_envelope_3sigT_ToF_ns,dToF_fit_120min_ns,ToF_thermal_multiple,ToF_n_sigma,ToF_sign,dAmp_fit_120min_mV,Amp_n_sigma,dEng_fit_120min_au,Eng_n_sigma
20,13,0.0,108.46666666666667,32.02874742721356,7.0623388077005895,9.157481963801436,1.2966642090034475,1.948280085413603,+,-27.29775017578777,-12.300584247732717,-0.6666519904836102,-8.190116443042914
40,13,0.0,108.48333333333333,31.848931702497648,7.022689440400732,-97.31945706568638,-13.857861420699972,-20.704988650136773,-,-53.8641093501534,-24.27159786883532,-1.9554769715043578,-24.023905016306028
60,13,0.0,108.48333333333333,27.94832724729944,6.162606158029527,-117.79707858311136,-19.114815317157408,-25.061660315638427,-,-35.889628491950795,-16.172153237618577,-1.2448914699290756,-15.294045833829475
80,13,0.0,108.48333333333333,30.74300856556423,6.778833388706913,90.59850315728262,13.364910739392668,19.275086772471475,+,11.342686251330406,5.111105015307837,0.4440799449538996,5.455719792502356
