SOC%,feature,slope_per_min,delta_contrast_120min,n_sigma_ROI
20,tof,-0.1155159804768712,-13.861917657224543,-2.949162032092359
20,amp,0.23605992448900998,28.3271909386812,12.764458477311253
20,eng,0.004882519851716761,0.5859023822060113,7.19807156210905
40,tof,0.29855701809205304,35.826842171046366,7.622261599970474
40,amp,0.3661336917633416,43.936043011600994,19.79793188434842
40,eng,0.012346181717553355,1.4815418061064025,18.201400551500882
60,tof,-0.3478979904252901,-41.74775885103482,-8.881953303499213
60,amp,0.36461558908260105,43.75387068991213,19.715843581242527
60,eng,0.01252054889100707,1.5024658669208484,18.45846195231858
80,tof,-0.23145077855779228,-27.774093426935075,-5.9090166191986375
80,amp,-0.16858973372786756,-20.230768047344107,-9.116145658898201
80,eng,-0.004670087224170006,-0.5604104669004007,-6.884892035625251
