scan_index,scan_id,session_dir,is_baseline,feature,temp_mean_c,temp_min_c,temp_max_c,temp_n,mean,std,median_abs,p95_abs,min,max,range
1,scan_2026-05-28_18-25-17,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r01_2026-05-28_18-25-17,False,amplitude,24.569776293725674,24.525680541992188,24.615249633789062,1534,0.024317811357342484,0.7928244245933556,0.10060596466064453,1.7591054499149326,-4.948671817779541,5.512557417154312,10.461229234933853
1,scan_2026-05-28_18-25-17,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r01_2026-05-28_18-25-17,False,tof,24.569776293725674,24.525680541992188,24.615249633789062,1534,-0.044317088001304204,0.5318030333624774,0.030495166778564453,0.725916337966919,-8.074502944946289,8.91645097732544,16.99095392227173
1,scan_2026-05-28_18-25-17,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r01_2026-05-28_18-25-17,False,energy,24.569776293725674,24.525680541992188,24.615249633789062,1534,0.8092095118920827,40.1104711138667,6.6844329833984375,90.76735458374037,-277.65208435058594,290.85304260253906,568.505126953125
2,scan_2026-05-28_18-34-19,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r02_2026-05-28_18-34-19,False,amplitude,24.625097874679952,24.581632614135742,24.66984748840332,1535,0.0029016598586668906,0.25383713026549265,0.01981532573699951,0.45390441417694094,-4.330890774726868,4.474424242973328,8.805315017700195
2,scan_2026-05-28_18-34-19,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r02_2026-05-28_18-34-19,False,tof,24.625097874679952,24.581632614135742,24.66984748840332,1535,-0.009270599650012121,0.23131478659146576,0.013937950134277344,0.2519510746002199,-6.855583190917969,8.52961254119873,15.3851957321167
2,scan_2026-05-28_18-34-19,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r02_2026-05-28_18-34-19,False,energy,24.625097874679952,24.581632614135742,24.66984748840332,1535,0.17921223003721712,13.210014753480591,1.2113265991210938,24.285535812377937,-193.5597381591797,204.69074249267578,398.25048065185547
3,scan_2026-05-28_18-43-22,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r03_2026-05-28_18-43-22,False,amplitude,24.683101021280194,24.642301559448242,24.722938537597656,1536,0.0014824057213847052,0.26011491452443036,0.01966416835784912,0.4485927581787111,-4.606400966644287,4.818650782108307,9.425051748752594
3,scan_2026-05-28_18-43-22,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r03_2026-05-28_18-43-22,False,tof,24.683101021280194,24.642301559448242,24.722938537597656,1536,-0.007783441576692793,0.2307994178084605,0.010691642761230469,0.23672442436218277,-7.879616737365723,8.439911842346191,16.319528579711914
3,scan_2026-05-28_18-43-22,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r03_2026-05-28_18-43-22,False,energy,24.683101021280194,24.642301559448242,24.722938537597656,1536,0.09825409825018869,13.542284135677658,1.1917648315429688,24.555353546142598,-225.90767669677734,220.2863006591797,446.19397735595703
4,scan_2026-05-28_18-52-24,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r04_2026-05-28_18-52-24,True,amplitude,24.739462923040293,24.69305992126465,24.78343391418457,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,scan_2026-05-28_18-52-24,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r04_2026-05-28_18-52-24,True,tof,24.739462923040293,24.69305992126465,24.78343391418457,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,scan_2026-05-28_18-52-24,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r04_2026-05-28_18-52-24,True,energy,24.739462923040293,24.69305992126465,24.78343391418457,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,scan_2026-05-28_19-01-27,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r05_2026-05-28_19-01-27,False,amplitude,24.805916264683308,24.746776580810547,24.85963249206543,1536,-0.0018377821853048065,0.26399761324418636,0.020743370056152344,0.46946667879819876,-4.563329756259918,4.705265760421753,9.268595516681671
5,scan_2026-05-28_19-01-27,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r05_2026-05-28_19-01-27,False,tof,24.805916264683308,24.746776580810547,24.85963249206543,1536,0.01168563571241167,0.23639034429056066,0.014097213745117188,0.26069178581237795,-8.264951705932617,8.496411323547363,16.76136302947998
5,scan_2026-05-28_19-01-27,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r05_2026-05-28_19-01-27,False,energy,24.805916264683308,24.746776580810547,24.85963249206543,1536,-0.1420399613553131,13.834988286091082,1.305023193359375,25.59996795654299,-222.7356414794922,263.6928520202637,486.42849349975586
6,scan_2026-05-28_19-10-29,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r06_2026-05-28_19-10-29,False,amplitude,24.89577667243553,24.83861541748047,24.950382232666016,1536,-0.00327749342503052,0.22761522206106402,0.019024290144443512,0.42288072109222424,-4.332918107509613,4.420417249202728,8.753335356712341
6,scan_2026-05-28_19-10-29,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r06_2026-05-28_19-10-29,False,tof,24.89577667243553,24.83861541748047,24.950382232666016,1536,0.01615543305873871,0.2249447067771199,0.01768779754638672,0.22217216491699243,-6.97257137298584,7.999203681945801,14.97177505493164
6,scan_2026-05-28_19-10-29,data/raw/cscan\cscan_baseline_repeat_6scan_startpoint_2026-05-28_18-25-17_r06_2026-05-28_19-10-29,False,energy,24.89577667243553,24.83861541748047,24.950382232666016,1536,-0.22027993958006523,12.01334429742836,1.2300262451171875,21.968750762939464,-188.5595588684082,229.80883026123047,418.3683891296387
