feature,mean,std,median_abs,p95_abs,min,max,range
amplitude,0.4734296080413234,0.7682491010304358,0.15076065063476562,2.0504662275314334,0.0010089874267578125,5.596513479948044,5.595504492521286
tof,0.24544639769527649,0.6052335337883199,0.053436279296875,0.8283557891845704,0.006796836853027344,9.795042037963867,9.78824520111084
energy,25.985948038272696,37.78728118850567,9.738197326660156,105.28396301269531,0.044407010078430176,294.6824493408203,294.6380423307419
